check_date,check_name,table_name,severity,status,metric_value,expected_range,failure_details,created_at,incident_id,incident_status,incident_summary,incident_root_cause_type,incident_root_cause_details,incident_opened_at,incident_owner
2019-11-10,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,22768.0,> 0,,2026-02-06 16:01:22.33094,,,,,,,
2019-11-10,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1877906.0,>= 1000,,2026-02-06 16:01:22.30053,,,,,,,
2019-11-10,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:01:22.349928,,,,,,,
2019-11-11,freshness_has_events_on_run_date,core.fact_events,P0,PASS,2009390.0,> 0 rows on run_date,,2026-02-06 16:01:27.242688,,,,,,,
2019-11-11,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,22878.0,> 0,,2026-02-06 16:01:27.308296,,,,,,,
2019-11-11,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1940575.0,>= 1000,,2026-02-06 16:01:27.277418,,,,,,,
2019-11-11,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:01:27.326941,,,,,,,
2019-11-12,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1987569.0,> 0 rows on run_date,,2026-02-06 16:01:32.362388,,,,,,,
2019-11-12,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24931.0,> 0,,2026-02-06 16:01:32.4406,,,,,,,
2019-11-12,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,2009390.0,>= 1000,,2026-02-06 16:01:32.405666,,,,,,,
2019-11-12,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:01:32.461786,,,,,,,
2019-11-13,freshness_has_events_on_run_date,core.fact_events,P0,PASS,2019165.0,> 0 rows on run_date,,2026-02-06 16:01:37.788837,,,,,,,
2019-11-13,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,22725.0,> 0,,2026-02-06 16:01:37.872487,,,,,,,
2019-11-13,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1987569.0,>= 1000,,2026-02-06 16:01:37.834246,,,,,,,
2019-11-13,null_rate_session_id_run_date,core.fact_events,P1,PASS,9.905084527515087e-05,<= 1%,,2026-02-06 16:01:37.895332,,,,,,,
2019-11-14,freshness_has_events_on_run_date,core.fact_events,P0,PASS,3069726.0,> 0 rows on run_date,,2026-02-06 16:01:44.630427,,,,,,,
2019-11-14,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,22548.0,> 0,,2026-02-06 16:01:44.72418,,,,,,,
2019-11-14,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,2019165.0,>= 1000,,2026-02-06 16:01:44.682743,,,,,,,
2019-11-14,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:01:44.749438,,,,,,,
2019-11-15,freshness_has_events_on_run_date,core.fact_events,P0,PASS,6220416.0,> 0 rows on run_date,,2026-02-06 16:01:52.988737,,,,,,,
2019-11-15,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,22124.0,> 0,,2026-02-06 16:01:53.080746,,,,,,,
2019-11-15,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,3069726.0,>= 1000,,2026-02-06 16:01:53.039189,,,,,,,
2019-11-15,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:01:53.10442,,,,,,,
2019-11-16,purchase_events_vanish_prev_day,core.fact_events,P0,FAIL,0.0,> 0,No purchases on previous day,2026-02-06 16:02:03.798953,,,,,,,
2019-11-16,freshness_has_events_on_run_date,core.fact_events,P0,PASS,6502957.0,> 0 rows on run_date,,2026-02-06 16:02:03.664448,,,,,,,
2019-11-16,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,6220416.0,>= 1000,,2026-02-06 16:02:03.735448,,,,,,,
2019-11-16,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:02:03.827679,,,,,,,
2019-11-17,freshness_has_events_on_run_date,core.fact_events,P0,PASS,6395377.0,> 0 rows on run_date,,2026-02-06 16:02:14.493889,,,,,,,
